text,metadata,level
"BỘ GIÁO DỤC VÀ ĐÀO TẠO ĐẠI HỌC BÁCH KHOA HÀ NỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: /QĐ-ĐHBK Hà Nội, ngày tháng","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""0""}",0
"– Tự do – Hạnh phúc Số: /QĐ-ĐHBK Hà Nội, ngày tháng năm 2023 QUYẾT ĐỊNH Về việc ban hành Quy định quản lý và xét, cấp học bổng Trần Đại Nghĩa cho sinh viên Đại","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""1""}",0
"và xét, cấp học bổng Trần Đại Nghĩa cho sinh viên Đại học Bách khoa Hà Nội GIÁM ĐỐC ĐẠI HỌC BÁCH KHOA HÀ NỘI Căn cứ Luật Giáo dục đại học ngày 18/6/2012 và Luật","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""2""}",0
"NỘI Căn cứ Luật Giáo dục đại học ngày 18/6/2012 và Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học ngày 19 tháng 11 năm 2018; Căn cứ Nghị định số 99/2019/NĐ-CP","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""3""}",0
"ngày 19 tháng 11 năm 2018; Căn cứ Nghị định số 99/2019/NĐ-CP ngày 30/12/2019 của Chính phủ về việc Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""4""}",0
"dẫn thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học; Căn cứ Quy chế Tổ chức và hoạt động của Đại học Bách khoa Hà Nội do","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""5""}",0
Tổ chức và hoạt động của Đại học Bách khoa Hà Nội do Hội đồng Đại học ban hành theo Nghị quyết số 17/NQ-ĐHBK ngày 16/3/2023; Căn cứ Quy chế Quản lý tài chính của Đại học,"{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""6""}",0
16/3/2023; Căn cứ Quy chế Quản lý tài chính của Đại học Bách khoa Hà Nội do Hội đồng Đại học ban hành theo Nghị quyết số 20/NQ-ĐHBK ngày 16/3/2023; Căn cứ Quy chế Chi tiêu,"{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""7""}",0
quyết số 20/NQ-ĐHBK ngày 16/3/2023; Căn cứ Quy chế Chi tiêu nội bộ của Đại học Bách khoa Hà Nội do Giám đốc Đại học ban hành theo Quyết định số 1736/QĐ-ĐHBK ngày 16/3/2023; Theo,"{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""8""}",0
học ban hành theo Quyết định số 1736/QĐ-ĐHBK ngày 16/3/2023; Theo đề nghị của Ông (bà) Trưởng phòng Công tác sinh viên,"{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""9""}",0
. QUYẾT ĐỊNH:,"{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""10""}",0
"Điều 1. Ban hành kèm theo Quyết định này Quy định quản lý và xét, cấp học
bổng Trần Đại Nghĩa cho sinh viên Đại học Bách khoa Hà Nội.
Điều 2. Quyết định này có hiệu lực kể từ ngày ký. Các Ông (Bà) Trưởng phòng Công tác sinh viên, Đào tạo, Tài chính - Kế toán, Hành chính Tổng hợp, trưởng các đơn vị, cá nhân có liên quan chịu trách nhiệm thi hành quyết định này./.","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""11""}",0
"Nơi nhận: - Như Điều 2; - Lưu: VT, CTSV. GIÁM ĐỐC PGS.TS. Huỳnh Quyết Thắng BỘ GIÁO DỤC VÀ ĐÀO TẠO ĐẠI HỌC BÁCH KHOA HÀ NỘI CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc QUY ĐỊNH Về việc quản lý và xét, cấp học bổng Trần Đại Nghĩa cho sinh viên Đại học Bách khoa Hà Nội (Kèm theo Quyết định số / QĐ-ĐHBK ngày / / 2023 của Giám đốc Đại học Bách khoa Hà Nội) Chương I NHỮNG QUY ĐỊNH CHUNG
Điều 1. Mục đích của Học bổng Trần Đại Nghĩa","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""12""}",0
"Điều 1. Mục đích của Học bổng Trần Đại Nghĩa
1. Thực hiện trách nhiệm của Đại học Bách khoa Hà Nội (sau đây viết tắt là ĐHBK Hà Nội hoặc Đại học) đối với xã hội trong công tác đào tạo nguồn nhân lực chất lượng cao phục vụ cho quá trình công nghiệp hóa, hiện đại hóa đất nước.
2. Hỗ trợ cho những sinh viên có hoàn cảnh khó khăn, có ý chí, nghị lực vươn lên trong học tập; sinh viên gặp các tai nạn, rủi ro đột xuất.
3. Thu hút những học sinh xuất sắc vào học tại ĐHBK Hà Nội.
Điều 2. Đối tượng áp dụng
Quy định này áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất đang học tập tại ĐHBK Hà Nội.","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""13""}",0
"3. Thu hút những học sinh xuất sắc vào học tại ĐHBK Hà Nội.
Điều 2. Đối tượng áp dụng
Quy định này áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất đang học tập tại ĐHBK Hà Nội.
Điều 3. Nguồn Học bổng Trần Đại Nghĩa
Học bổng Trần Đại Nghĩa được hình thành từ các nguồn sau:
1. Trích từ nguồn kinh phí hợp pháp của ĐHBK Hà Nội do Giám đốc Đại học quyết định.
2. Sự đóng góp của các cán bộ, viên chức, người lao động của ĐHBK Hà Nội.
3. Sự đóng góp của các thế hệ sinh viên và cựu sinh viên ĐHBK Hà Nội.
4. Tài trợ từ các tổ chức, doanh nghiệp và các nhà hảo tâm khác.","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""14""}",0
"3. Sự đóng góp của các thế hệ sinh viên và cựu sinh viên ĐHBK Hà Nội.
4. Tài trợ từ các tổ chức, doanh nghiệp và các nhà hảo tâm khác.
Điều 4. Nguyên tắc hoạt động của Học bổng Trần Đại Nghĩa
Học bổng Trần Đại Nghĩa hoạt động trên các nguyên tắc sau:
1. Các khoản đóng góp cho Học bổng Trần Đại Nghĩa là tự nguyện, không vì mục đích lợi nhuận.
2. Hoạt động xét, cấp học bổng được thực hiện công khai, minh mạch và tuân thủ theo các quy định hiện hành về quản lý tài chính của Nhà nước và của ĐHBK Hà Nội. Chương II TIÊU CHUẨN, NGUYÊN TẮC VÀ HỒ SƠ ĐĂNG KÝ, XÉT CẤP HỌC BỔNG TRẦN ĐẠI NGHĨA","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""15""}",0
"Điều 5. Tiêu chuẩn được đăng ký xét Học bổng Trần Đại Nghĩa
2 Sinh viên có hoàn cảnh kinh tế gia đình đặc biệt khó khăn (hộ nghèo, hộ cận nghèo hoặc hộ có hoàn cảnh kinh tế đặc biệt khó khăn khác), sinh viên gặp các tai nạn, rủi ro đột xuất thuộc các đối tượng sau được đăng ký xét Học bổng Trần Đại Nghĩa:
1. Sinh viên mới trúng tuyển vào ĐHBK Hà Nội (đang trong thời gian học kỳ một năm thứ nhất) đạt một trong các điều kiện sau:
a) Là thành viên đội tuyển dự thi Olympic quốc tế hoặc đạt giải kỳ thi học sinh giỏi quốc gia các môn học thuộc tổ hợp xét tuyển vào ĐHBK Hà Nội đúng ngành học;","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""16""}",0
"a) Là thành viên đội tuyển dự thi Olympic quốc tế hoặc đạt giải kỳ thi học sinh giỏi quốc gia các môn học thuộc tổ hợp xét tuyển vào ĐHBK Hà Nội đúng ngành học;
b) Đạt điểm cao trong kỳ thi tuyển, xét tuyển vào ĐHBK Hà Nội (căn cứ vào điểm chuẩn trúng tuyển hàng năm, Đại học sẽ công bố mức điểm đạt điều kiện xét học bổng).
2. Sinh viên khác (từ học kỳ 2 trở đi) đạt đủ các điều kiện sau:
a) Sinh viên đang trong thời gian học tập theo chương trình đào tạo chuẩn;
b) Điểm học tập trung bình tích lũy (CPA) ≥ 2,0;
c) Tích lũy đủ số tín chỉ theo qui định xếp hạng trình độ năm học;","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""17""}",0
"b) Điểm học tập trung bình tích lũy (CPA) ≥ 2,0;
c) Tích lũy đủ số tín chỉ theo qui định xếp hạng trình độ năm học;
d) Điểm rèn luyện trung bình tích lũy ≥ 65.
3. Sinh viên có hoàn cảnh kinh tế gia đình khó khăn do gặp các tai nạn, rủi ro đột xuất, gồm:
a) Sinh viên mắc bệnh hiểm nghèo;
b) Sinh viên gặp tai nạn ở mức độ nặng và phải điều trị dài ngày trong bệnh viện;
c) Gia đình sinh viên gặp thiên tai, dịch bệnh hoặc hỏa hoạn.
4. Các trường hợp đặc biệt khác do Giám đốc Đại học quyết định.","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""18""}",0
"b) Sinh viên gặp tai nạn ở mức độ nặng và phải điều trị dài ngày trong bệnh viện;
c) Gia đình sinh viên gặp thiên tai, dịch bệnh hoặc hỏa hoạn.
4. Các trường hợp đặc biệt khác do Giám đốc Đại học quyết định.
Điều 6. Nguyên tắc xét, cấp Học bổng Trần Đại Nghĩa
1. Học bổng Trần Đại Nghĩa được xét, cấp theo học kỳ đối với các trường hợp quy định tại khoản 1 và khoản 2 Điều 5; xét cấp thường xuyên đối với các trường hợp quy định tại khoản 3 và khoản 4 Điều 5.
2. Không xét, cấp Học bổng Trần Đại Nghĩa cho những sinh viên không đăng ký học tập tại thời điểm xét, cấp học bổng.","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""19""}",0
"2. Không xét, cấp Học bổng Trần Đại Nghĩa cho những sinh viên không đăng ký học tập tại thời điểm xét, cấp học bổng.
3. Không xét, cấp Học bổng Trần Đại Nghĩa cho những sinh viên đang trong thời gian bị kỷ luật từ mức cảnh cáo trở lên.
4. Không xét, cấp Học bổng Trần Đại Nghĩa cho những sinh viên đã được nhận học bổng khuyến khích học tập hoặc học bổng tài trợ (trừ học bổng dưới dạng khóa học) trong học kỳ xét, cấp Học bổng Trần Đại Nghĩa.
5. Không xét, cấp Học bổng Trần Đại Nghĩa cho sinh viên diện chế độ chính sách được miễn, giảm học phí theo quy định của Nhà nước thuộc các đối tượng quy định tại khoản 1 và khoản 2 Điều 5. Điều 7. Mức Học bổng Trần Đại Nghĩa","{""source"": ""20230710 2. QĐ Học bổng Trần Đại Nghĩa 2023.txt"", ""id"": ""20""}",0
